Year,State,Population (million),Male (million),Female (million),Average Annual Population Growth Rate (%)
2018,Selangor,6.48,3.36,3.11,1.5
2018,Sabah,3.9,2.04,1.86,1.1
2018,Johor,3.75,1.98,1.77,1.4
2018,Sarawak,2.79,1.46,1.34,0.9
2018,Perak,2.5,1.27,1.24,0.4
2018,Kedah,2.16,1.10 ,1.07,0.9
2018,Kelantan,1.86,0.94,0.92,1.7
2018,Kuala Lumpur,1.79,0.92,0.87,0.2
2018,Penang,1.76,0.89,0.88,1.1
2018,Pahang,1.66,0.89,0.78,1.1
2018,Terengganu,1.23,0.63,0.6,1.7
2018,Negeri Sembilan,1.12,0.58,0.54,0.8
2018,Malacca,0.92,0.46,0.46,1
2018,Perlis,0.25,0.13,0.13,0.6
2018,Labuan,0.1,0.05,0.05,1.4
2018,Putrajaya,0.1,0.05,0.05,10.5
